QKEY,INTERVIEW_START_W149,INTERVIEW_END_W149,DEVICE_TYPE_W149,SVYMODE_W149,LANG_W149,FORM_W149,X_KIDS1,X_KIDS2,SATIS_W149,POL1JB_W149,POL1JBSTR_W149,CAMPNII_W149,PRZCMPGN_W149,MATTERS_W149,VOTEGEN24_W149,VOTEGEN24_LEAN_W149,VOTEGEN2_TRUMP_W149,VOTEGEN2_BIDEN_W149,VOTEGEN2_KENNEDY_W149,VOTESTRONG_W149,VOTEGEN24_TWO_W149,SATISPRESCAND_W149,EMTPRESTRUMP_W149,EMTPRESBIDEN_W149,CMPGNTRAIT_PROUD_W149,CMPGNTRAIT_NEG_W149,CMPGNTRAIT_POLCY_W149,ELECT_CONF_A_W149,ELECT_CONF_B_W149,TRUMPISSUE1_W149,TRUMPISSUE2_W149,BIDENISSUE1_W149,BIDENISSUE2_W149,INSTFAV_CONG_W149,INSTFAV_COURT_W149,INSTFAV_REP_W149,INSTFAV_DEM_W149,DTCONF_FRGN_W149,DTCONF_SCT_W149,DTCONF_WRK_W149,DTCONF_ECON_W149,DTCONF_IMMI_W149,DTCONF_ABCN_W149,JBCONF_FRGN_W149,JBCONF_SCT_W149,JBCONF_WRK_W149,JBCONF_ECON_W149,JBCONF_IMMI_W149,JBCONF_ABCN_W149,TRUMPDESC_HNST_W149,TRUMPDESC_ORD_W149,TRUMPDESC_MNSHRP_W149,TRUMPDESC_MEAN_W149,TRUMPDESC_EMB_W149,BIDENDESC_HNST_W149,BIDENDESC_ORD_W149,BIDENDESC_MNSHRP_W149,BIDENDESC_MEAN_W149,BIDENDESC_EMB_W149,FREETRADEUS_W149,AGNCYFAV_FBI_W149,AGNCYFAV_CIA_W149,AGNCYFAV_CDC_W149,AGNCYFAV_SSA_W149,AGNCYFAV_FED_W149,AGNCYFAV_NPS_W149,AGNCYFAV_ED_W149,AGNCYFAV_TRANS_W149,AGNCYFAV_JSTCE_W149,AGNCYFAV_IRS_W149,AGNCYFAV_EPA_W149,AGNCYFAV_NASA_W149,AGNCYFAV_VA_W149,AGNCYFAV_USPS_W149,AGNCYFAV_HHS_W149,AGNCYFAV_HMLND_W149,BILLION_W149,COURTIDEO_W149,COURTPOWER_W149,SCOTUS_PRTSN_W149,SCOTUS_JOB_W149,JB_FP_CH_W149,JB_FP_ISHM_W149,JB_FP_ENR_W149,JB_FP_WRK_W149,JB_FP_NK_W149,JB_FP_IRN_W149,JB_FP_UKR_W149,DT_FP_CH_W149,DT_FP_ISHM_W149,DT_FP_ENR_W149,DT_FP_WRK_W149,DT_FP_NK_W149,DT_FP_IRN_W149,DT_FP_UKR_W149,UKRFOL_W149,UKR_SPRT_W149,RU_UKN_THRT2_W149,USUK_RESP_W149,UA_APPDIS_SANC_W149,UA_APPDIS_MIL_W149,UA_APPDIS_STRIK_W149,UA_CONC_WARRS_W149,UA_CONC_DFT_W149,UA_CONC_MREYR_W149,UA_CONC_INVD_W149,UA_PROG_W149,DEMCARE_W149,DEMEARN_W149,REPCARE_W149,REPEARN_W149,ISGZ_FOL_W149,BIDEN_FAVORISRPAL_W149,TRUMP_FAVORISRPAL_W149,PF_HAPPEN_MED_W149,PF_HAPPEN_HOU_W149,PF_HAPPEN_LOSE_W149,PF_HAPPEN_RAISE_W149,PF_HAPPEN_SAVE_W149,PF_HAPPEN_FOOD_W149,PF_HAPPEN_CHILD_W149,VOTE_MOTIV_W149,VOTEHOW_W149,RPLC_W149,LIVSTAN_W149,LIVSTAN2_W149,HORSE_W149,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSTR_FINAL,F_PARTYLNCLOSE_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W149
201501646045,02-Jul-2024 18:40:26,03-Jul-2024  08:34:08,1,1,9,1,2,1,2,2,1,,1,1,1,,1,,,1,,3,,,2,2,1,2,1,1,2,4,3,4,2,3,4,1,1,2,1,1,1,4,4,4,4,4,4,,,,,,,,,,,2,3,4,4,2,4,2,4,3,,,,,,,,,1,2,,2,2,4,99,4,4,,,,1,1,1,1,,,,2,1,3,2,3,3,3,,,,,4,5,5,2,3,2,2,3,1,1,2,2,2,1,2,2,1,4,5,7,1,2,3,6,3,3,1,1,5,2,,1,1,1,1,3,1,1,1,5,1,,1,,1,1,1,1,1,2,2,1,1.1316145685333858
201501646838,02-Jul-2024 19:37:21,02-Jul-2024 21:41:00,1,1,9,1,2,1,2,2,1,,1,2,4,3,,,,,2,4,,,2,1,2,4,4,2,3,99,2,3,2,2,3,2,3,4,2,2,4,4,4,3,4,4,3,,,,,,,,,,,1,5,5,5,3,4,5,3,4,,,,,,,,,3,2,,1,,4,4,4,4,,,,3,2,2,3,,,,3,99,1,2,1,3,5,,,,,3,3,3,3,4,3,4,4,2,2,2,2,2,2,2,2,1,1,3,2,3,1,1,1,2,4,2,1,5,2,,1,1,1,1,1,2,2,2,1,3,1,,3,1,2,1,9,3,3,1,2,0.5173018937644638
201501647491,06-Jul-2024 13:36:22,07-Jul-2024 20:29:38,3,1,9,1,2,2,99,1,2,,2,1,,3,,,,,2,3,,,2,1,2,4,3,3,3,3,2,2,3,3,4,4,4,4,2,3,4,3,99,99,3,3,4,,,,,,,,,,,1,2,1,2,5,5,5,3,5,,,,,,,,,2,1,,2,4,2,3,3,3,,,,4,4,4,4,,,,3,1,2,1,2,2,1,,,,,4,4,5,5,5,4,1,1,1,1,1,1,2,1,2,,,,1,,,1,3,5,1,2,2,1,6,1,97,4,5,3,3,6,2,2,2,4,2,,2,,2,3,2,9,3,1,2,3,0.5853929820560211
201501647619,02-Jul-2024 19:01:37,02-Jul-2024 19:15:50,1,1,9,1,2,2,1,2,1,,1,1,1,,1,,,1,,2,,,1,2,2,1,1,1,2,4,3,2,1,2,4,1,1,2,1,1,1,4,4,4,4,4,4,,,,,,,,,,,2,2,2,4,1,5,1,2,2,,,,,,,,,3,1,,2,1,3,3,3,3,,,,2,1,1,1,,,,3,2,1,1,1,1,1,,,,,3,4,1,3,1,3,2,3,2,2,2,2,2,2,2,1,2,3,1,,1,1,3,5,2,4,2,1,5,2,,1,2,2,1,1,1,1,1,2,1,,1,,1,1,1,3,2,2,1,2,0.34480658873568537
201501647627,02-Jul-2024 18:23:01,04-Jul-2024  09:18:50,3,1,9,1,2,1,2,2,2,,2,2,3,,,,2,2,1,3,,,2,1,2,1,1,3,3,3,2,2,1,2,3,2,2,3,2,2,3,4,3,3,3,4,2,,,,,,,,,,,1,2,2,3,3,2,1,4,4,,,,,,,,,3,2,,2,2,4,3,2,3,,,,2,2,3,2,,,,3,3,2,1,1,2,2,,,,,3,4,4,4,4,2,2,3,1,2,2,2,2,2,2,1,2,1,3,4,3,1,3,5,2,4,1,1,5,2,,1,1,1,1,1,1,1,1,2,3,2,,4,2,3,1,9,3,2,1,3,0.39339442711450134
201501648255,02-Jul-2024 18:37:25,02-Jul-2024 18:52:27,1,1,9,1,2,2,1,1,1,,2,1,2,,,1,,1,,3,,,2,1,1,2,2,4,3,1,1,2,3,3,2,4,4,4,4,4,4,1,1,2,1,1,1,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,,,,,,,,1,1,,2,4,1,1,1,1,,,,3,4,99,4,,,,3,2,1,2,1,2,3,,,,,3,2,2,5,4,3,4,4,1,1,1,2,2,2,2,1,1,1,4,,2,2,3,5,3,3,1,3,2,2,,1,1,1,1,1,9,,3,6,3,2,,3,2,4,1,4,4,2,2,2,1.723666562149686
201501648401,03-Jul-2024  06:19:07,03-Jul-2024  07:34:42,3,1,9,1,1,2,2,2,2,,2,1,,,1,,,1,,2,,,2,2,2,3,2,2,2,3,3,3,2,2,4,1,1,3,1,1,2,4,4,4,4,4,3,,,,,,,,,,,1,2,2,3,5,2,1,3,2,,,,,,,,,2,1,,2,2,3,4,3,3,,,,1,2,2,1,,,,3,1,4,2,2,3,3,,,,,3,4,4,3,4,3,4,3,2,2,2,1,1,2,2,,,,4,4,,1,1,2,2,2,1,1,5,2,,1,1,1,1,1,12,,3,6,4,1,,3,1,1,2,9,2,1,2,3,0.7666597876283984
201501649465,03-Jul-2024  08:39:29,03-Jul-2024  08:40:58,1,1,9,2,2,2,1,2,1,2,,4,2,,,1,,1,,,1,2,2,2,2,2,2,2,2,1,2,2,1,3,3,,,,,,,,,,,,,2,2,3,3,4,2,2,3,2,2,1,,,,,,,,,5,2,2,1,1,3,2,3,2,,2,2,99,,,,,3,3,3,,,,,3,2,99,3,3,2,2,,,,1,2,2,2,3,3,4,2,3,3,1,1,2,1,2,2,99,2,2,3,1,1,2,,2,1,3,5,2,1,2,3,1,1,2,1,1,3,1,3,2,2,2,1,2,,2,,2,3,1,2,2,2,1,1,2.457016763025683
201501649817,03-Jul-2024 12:55:49,03-Jul-2024 18:00:20,1,1,9,2,2,1,2,1,2,1,,1,2,,,1,,1,,,3,2,2,2,2,1,2,4,3,2,1,3,3,4,2,,,,,,,,,,,,,4,4,3,1,1,2,1,3,4,2,1,,,,,,,,,2,3,3,3,1,1,1,2,3,,1,2,4,,,,,3,3,3,,,,,4,4,4,1,4,2,2,,,,1,2,1,2,2,3,3,5,5,1,1,4,1,1,99,1,2,1,2,3,2,1,2,2,2,1,2,3,1,3,1,3,1,2,,1,2,2,1,3,1,1,1,2,2,,1,,2,3,1,4,3,1,2,2,1.1115404741322952
201501650723,03-Jul-2024 24:24:33,03-Jul-2024 24:54:03,3,1,9,2,2,1,2,1,2,3,,1,2,,,1,,2,,,3,2,2,1,2,2,2,4,3,2,2,3,3,4,2,,,,,,,,,,,,,4,4,4,1,1,2,2,3,4,3,1,,,,,,,,,5,3,2,2,5,2,2,5,3,,1,2,3,,,,,2,99,2,,,,,4,99,4,4,3,4,1,,,,3,3,3,3,4,3,3,5,4,5,4,4,1,2,2,1,2,2,2,4,3,1,5,4,2,1,2,3,3,4,2,1,5,2,,1,1,1,1,1,12,,3,6,2,,1,,2,4,1,3,4,1,2,2,0.42790282430785304
201501651138,02-Jul-2024 20:12:44,02-Jul-2024 20:23:25,1,1,9,1,1,2,2,2,1,,1,1,1,,1,,,2,,4,,,2,2,2,4,1,2,2,4,3,4,2,3,4,2,1,2,1,1,2,4,4,4,4,4,4,,,,,,,,,,,2,4,4,4,4,4,1,4,4,,,,,,,,,1,2,,2,3,4,4,4,4,,,,2,2,2,2,,,,2,1,3,2,4,4,4,,,,,5,5,5,4,4,3,1,4,2,2,2,2,1,2,2,1,1,4,2,4,1,2,2,3,3,2,1,1,5,2,,1,1,1,1,1,1,2,1,4,4,1,,4,1,1,1,9,2,1,2,3,0.7550995071415362
201501651199,02-Jul-2024 21:02:38,02-Jul-2024 21:28:11,1,1,9,2,2,1,1,1,1,1,,1,2,,,1,,1,,,4,1,2,1,2,1,2,4,3,1,1,2,4,4,1,,,,,,,,,,,,,4,4,3,1,1,1,1,2,4,4,1,,,,,,,,,1,1,1,1,1,1,1,1,3,,1,2,3,,,,,1,1,1,,,,,1,1,1,1,2,1,1,,,,3,1,2,1,3,1,2,5,4,2,1,1,2,2,2,1,1,2,2,1,2,2,2,3,2,1,4,9,1,3,2,2,3,2,,1,1,1,1,1,1,2,1,3,2,,1,,2,4,1,9,4,2,2,2,0.544271089172031
201501651295,04-Jul-2024 17:34:00,04-Jul-2024 17:44:52,1,1,9,1,2,2,2,1,2,,1,1,2,,,1,,1,,4,,,2,1,2,1,1,4,3,2,2,4,4,4,3,4,4,4,4,4,4,1,1,2,1,2,1,,,,,,,,,,,1,2,3,3,3,2,1,3,3,,,,,,,,,2,1,,2,4,1,2,1,99,,,,99,4,4,4,,,,3,3,1,1,1,1,1,,,,,3,4,4,5,5,3,1,4,2,2,2,2,1,2,2,1,1,2,1,,2,1,2,3,3,2,2,1,5,2,,1,1,1,1,1,1,2,1,5,2,,2,,2,4,1,9,5,2,2,3,0.9619690975717136
201501651616,02-Jul-2024 18:24:58,02-Jul-2024 18:30:55,3,1,9,2,2,1,2,1,2,2,,1,2,,,1,,2,,,4,2,2,1,2,2,3,4,3,2,1,3,4,4,3,,,,,,,,,,,,,4,4,4,1,1,2,2,2,3,3,1,,,,,,,,,2,2,2,1,3,2,2,3,2,,1,2,4,,,,,2,2,2,,,,,4,4,4,3,3,1,1,,,,3,1,1,1,3,3,4,5,1,3,1,1,2,2,2,2,2,2,2,1,3,1,3,3,2,1,3,5,2,2,2,1,6,2,,1,1,1,1,1,12,,3,6,3,2,,3,2,4,1,9,5,2,2,2,0.7609140015755262
201501651624,02-Jul-2024 19:27:23,02-Jul-2024 19:31:34,1,1,9,2,1,1,2,2,1,1,,3,,,1,,,1,,,1,4,1,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,1,1,4,4,4,4,4,2,1,1,,,,,,,,,3,2,3,4,2,3,3,3,2,,2,2,3,,,,,1,2,3,,,,,1,2,2,2,3,2,1,,,,3,3,2,2,3,3,3,3,3,3,2,3,1,1,2,2,2,1,1,,,,3,3,,1,1,2,2,2,1,2,4,1,2,1,5,3,1,2,2,2,2,3,4,1,,1,1,1,2,3,2,3,1,1,1.3299302936820019
201501651867,03-Jul-2024 19:01:51,03-Jul-2024 19:27:50,1,1,10,1,1,1,2,2,2,,3,1,2,,,1,,1,,4,,,2,1,2,3,3,4,3,1,3,2,3,3,2,3,3,3,2,3,2,1,1,2,1,2,2,,,,,,,,,,,2,1,2,1,1,2,1,1,1,,,,,,,,,3,1,,2,3,1,2,99,1,,,,2,2,3,3,,,,3,4,2,2,1,1,1,,,,,4,2,4,3,4,3,3,4,2,2,2,2,2,2,2,4,3,1,3,1,2,1,3,5,1,4,1,1,5,1,97,4,4,3,4,3,12,,3,6,3,2,,2,2,4,1,6,4,2,2,2,0.4447522660159409
201501652039,04-Jul-2024  08:27:11,04-Jul-2024  08:40:49,1,1,9,1,1,1,2,2,1,,1,1,1,,1,,,2,,4,,,2,1,2,2,1,2,2,4,3,3,2,3,4,2,2,3,2,2,2,3,3,3,4,4,4,,,,,,,,,,,99,5,5,4,5,5,2,4,5,,,,,,,,,3,1,,2,5,1,1,2,3,,,,1,1,2,3,,,,3,1,1,1,1,1,1,,,,,3,5,4,2,3,2,2,2,2,2,2,2,1,2,2,1,1,3,3,2,1,1,2,3,3,3,1,3,2,2,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,8,2,1,1,2,0.74697042426181
201501652117,02-Jul-2024 18:45:52,02-Jul-2024 18:52:41,1,1,9,1,2,2,2,2,2,,1,1,,2,,,,,,4,,,2,1,2,3,3,4,3,3,1,4,4,4,3,4,4,4,4,4,4,2,2,3,3,2,1,,,,,,,,,,,2,3,3,1,3,4,1,2,2,,,,,,,,,2,1,,2,4,2,4,2,3,,,,4,4,4,4,,,,3,2,2,2,1,1,1,,,,,3,4,3,5,5,3,1,1,1,1,2,2,2,1,2,,,,5,,,1,3,7,1,2,1,3,2,2,,1,1,1,1,3,12,,3,6,4,2,,4,2,4,3,1,5,1,2,1,1.4220847593437602
201501652484,02-Jul-2024 18:22:26,02-Jul-2024 19:07:55,1,1,9,2,2,2,2,2,1,2,,2,,,2,,,2,,,2,4,2,2,2,3,1,2,1,3,3,3,3,2,4,,,,,,,,,,,,,2,3,2,3,3,4,4,4,1,1,1,,,,,,,,,3,4,5,5,5,5,5,3,1,,3,2,5,,,,,4,4,3,,,,,2,3,2,4,4,2,1,,,,4,4,4,4,6,5,2,4,5,1,2,4,2,2,2,1,1,2,2,,,,4,,,1,1,2,1,2,1,1,5,2,,4,1,1,4,6,5,,4,2,1,,2,,1,1,2,5,2,1,2,2,1.0844718249236573
201501652485,03-Jul-2024 10:11:36,03-Jul-2024 10:41:26,3,1,9,1,2,1,2,1,1,,2,1,2,,,1,,1,,2,,,2,1,2,2,2,4,3,1,1,2,4,4,2,3,4,4,3,3,4,2,1,1,1,2,1,,,,,,,,,,,2,1,2,1,2,3,1,2,2,,,,,,,,,2,1,,2,4,1,2,1,1,,,,3,3,4,4,,,,3,3,2,1,1,2,2,,,,,3,3,3,4,5,3,3,1,2,2,2,1,2,2,2,2,2,1,4,7,2,1,1,2,1,3,2,1,6,2,,1,1,1,1,1,12,,3,5,2,,1,,2,4,1,9,4,2,2,2,0.7143215222032155
201501652886,02-Jul-2024 19:18:07,02-Jul-2024 19:28:33,1,1,9,2,2,2,2,2,1,2,,1,1,,1,,,1,,,1,4,2,1,2,2,2,2,1,4,3,2,2,2,3,,,,,,,,,,,,,2,2,1,2,2,3,4,4,4,4,1,,,,,,,,,2,5,5,2,1,2,2,2,3,,1,2,2,,,,,4,4,4,,,,,1,1,1,3,4,4,2,,,,2,2,2,2,2,3,3,3,2,3,4,4,1,2,2,2,1,2,2,1,1,3,6,,1,1,1,2,2,4,99,3,2,2,,1,1,1,1,99,99,2,99,5,99,1,,2,1,2,1,99,3,1,2,99,0.5761998354171367
201501652961,04-Jul-2024 13:48:28,04-Jul-2024 13:56:47,1,1,9,1,1,2,2,2,2,,2,2,,,,,1,2,2,4,,,2,2,2,2,2,4,3,3,2,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,,,,,,,,,,,2,2,2,2,3,3,2,3,2,,,,,,,,,2,1,,2,3,99,3,3,3,,,,4,4,4,4,,,,3,1,2,2,1,3,2,,,,,3,3,3,5,3,3,1,1,2,2,2,2,2,2,1,,,,4,4,,1,4,8,3,2,1,2,3,2,,1,1,1,1,3,10,,3,6,3,2,,3,2,3,2,8,3,2,1,2,0.6825977525343282
201501653642,03-Jul-2024  09:21:31,03-Jul-2024  09:28:34,3,1,9,1,2,1,2,2,2,,2,1,1,,1,,,2,,4,,,2,1,2,3,3,2,3,4,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,,,,,,,,,,,1,5,5,5,5,5,5,5,5,,,,,,,,,2,99,,2,5,4,4,4,4,,,,2,1,2,2,,,,4,4,4,1,5,5,5,,,,,6,5,5,5,5,3,4,4,2,2,2,1,1,2,2,99,1,1,1,1,1,1,3,5,2,4,2,1,5,99,,1,99,99,1,1,11,,4,99,99,1,,4,1,9,1,99,99,2,2,99,0.8166657878747697
201501655330,07-Jul-2024 21:13:51,07-Jul-2024 21:20:48,3,1,9,2,1,2,1,1,2,2,,3,3,,,,2,2,2,,3,3,2,1,1,1,2,2,3,3,2,3,2,2,3,,,,,,,,,,,,,4,3,2,2,3,3,2,4,3,2,1,,,,,,,,,2,2,2,2,2,3,2,2,1,,3,2,3,,,,,3,3,3,,,,,2,2,2,3,4,3,2,,,,3,4,3,3,4,4,4,3,4,3,2,4,2,2,2,1,1,2,2,1,3,1,1,2,3,1,2,3,3,2,1,1,6,2,,1,1,1,1,1,1,1,1,2,1,,2,,1,1,1,9,2,1,1,3,0.6234478224641482
201501655390,02-Jul-2024 19:02:18,02-Jul-2024 19:08:56,3,1,9,1,2,1,2,2,2,,2,2,3,,,,2,2,1,4,,,2,1,2,3,2,3,3,3,2,3,2,3,3,2,2,4,1,2,3,4,3,3,4,2,2,,,,,,,,,,,1,2,5,1,2,3,1,2,5,,,,,,,,,3,1,,2,3,4,4,2,2,,,,2,1,3,2,,,,3,2,1,1,1,1,1,,,,,3,3,4,3,4,2,3,3,2,2,2,2,1,2,2,1,1,1,3,1,3,1,4,8,2,4,2,1,5,2,,1,1,1,1,1,3,1,4,2,3,1,,3,1,2,1,5,3,2,1,2,0.363398453304249
201501655673,02-Jul-2024 18:33:34,02-Jul-2024 19:05:14,3,1,9,1,2,1,2,2,2,,99,4,4,3,,,,,2,4,,,2,1,2,3,4,3,3,3,3,4,4,4,4,4,4,4,99,4,4,4,4,4,4,4,4,,,,,,,,,,,1,3,4,4,2,4,1,3,2,,,,,,,,,2,1,,2,4,4,4,4,3,,,,4,4,4,4,,,,4,1,3,2,3,4,4,,,,,3,5,4,5,5,1,1,1,1,2,2,2,2,2,2,1,1,1,5,99,3,1,3,5,3,3,1,2,3,2,,1,5,4,1,3,9,,3,6,3,2,,4,2,3,1,1,2,2,2,1,1.1507205074693727
201501655718,07-Jul-2024 12:03:37,07-Jul-2024 12:12:04,1,1,9,1,2,2,1,1,2,,1,1,2,,,1,,2,,3,,,2,2,2,2,1,3,3,2,2,3,2,2,2,3,3,99,3,4,3,3,4,3,3,2,3,,,,,,,,,,,1,5,5,2,3,2,2,1,2,,,,,,,,,2,1,,2,4,3,3,3,3,,,,4,4,4,4,,,,5,4,4,1,5,5,5,,,,,6,4,4,3,3,5,4,4,2,2,2,2,1,2,2,1,1,1,1,,2,1,2,4,1,1,2,1,5,2,,1,1,1,1,6,2,2,2,5,2,,2,,2,3,1,9,3,1,2,3,1.195643850742596
201501655994,02-Jul-2024 18:35:12,02-Jul-2024 19:12:49,1,1,9,1,1,2,1,1,1,,1,1,2,,,1,,1,,3,,,2,2,2,1,1,4,3,1,1,2,3,4,1,4,4,4,4,4,4,1,1,2,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,3,1,,2,3,1,2,1,1,,,,3,4,4,4,,,,2,3,1,1,1,1,2,,,,,3,1,2,3,5,1,1,1,2,2,1,1,2,2,2,1,3,1,1,2,2,1,4,9,1,2,1,1,6,1,6,4,1,3,4,2,12,,3,6,2,,1,,2,4,1,9,4,1,2,2,0.7199200553290459
201501656172,03-Jul-2024  02:34:30,03-Jul-2024  03:09:09,1,1,9,2,2,2,2,2,1,3,,1,1,,1,,,99,,,2,4,2,1,2,2,1,1,1,4,3,4,3,3,4,,,,,,,,,,,,,1,1,1,4,1,4,4,4,1,1,2,,,,,,,,,3,4,2,3,4,2,2,4,3,,3,2,3,,,,,4,4,4,,,,,1,1,1,5,1,4,2,,,,5,4,4,3,5,5,1,4,4,5,4,3,99,99,1,2,1,1,2,1,1,4,5,,1,2,4,9,3,3,1,3,2,2,,1,1,1,1,6,11,2,4,5,3,1,,4,1,1,1,2,2,2,1,2,1.3256516129381777
201501656226,02-Jul-2024 23:08:37,02-Jul-2024 23:33:11,1,1,9,2,2,2,2,1,1,1,,1,2,,,1,,1,,,4,2,2,1,2,1,1,4,3,2,1,3,4,4,2,,,,,,,,,,,,,4,4,4,1,1,1,1,2,3,4,1,,,,,,,,,1,2,1,2,1,2,2,1,3,,1,2,4,,,,,1,2,1,,,,,4,4,4,2,2,1,1,,,,4,1,1,1,3,2,3,5,5,2,1,1,2,2,2,2,2,2,2,1,2,1,3,,2,1,3,5,3,4,2,2,4,2,,1,1,1,1,1,1,2,1,2,2,,1,,2,4,1,99,4,2,2,99,0.6088673996565431
201501656404,02-Jul-2024 18:37:36,02-Jul-2024 23:19:12,3,1,9,1,2,2,2,2,1,,2,3,1,,2,,,2,,4,,,2,2,2,4,1,3,2,4,3,4,2,3,4,3,2,2,2,2,3,4,4,4,4,4,4,,,,,,,,,,,2,4,4,4,3,4,2,4,5,,,,,,,,,2,2,,2,3,4,4,4,4,,,,2,3,2,2,,,,3,1,3,2,3,4,3,,,,,4,5,4,4,4,3,4,1,2,2,2,1,1,2,2,3,1,1,5,,1,1,1,1,2,2,1,1,5,2,,1,1,1,1,6,12,,3,5,4,1,,3,1,2,1,3,3,1,2,2,0.6839926207445476
201501656898,02-Jul-2024 20:56:54,02-Jul-2024 21:35:52,1,1,9,2,1,2,2,2,1,2,,1,1,,1,,,2,,,2,4,2,1,2,3,1,1,3,4,3,3,2,2,4,,,,,,,,,,,,,3,3,1,2,2,4,3,4,3,1,1,,,,,,,,,2,4,3,1,3,3,3,3,1,,3,1,,,,,,4,4,4,,,,,1,1,1,2,3,2,1,,,,3,1,3,2,4,5,5,3,2,2,2,3,2,2,2,1,1,2,2,1,2,1,2,4,1,1,3,7,2,2,2,1,6,2,,1,1,1,1,1,1,1,1,2,1,,1,,1,1,1,9,1,2,1,2,0.7862719522545896
201501656958,02-Jul-2024 20:57:45,02-Jul-2024 21:13:00,1,1,9,1,2,2,1,1,2,,1,2,2,,,2,,2,,4,,,2,1,2,2,2,3,3,2,1,4,3,4,3,4,4,4,3,4,3,2,1,3,2,1,1,,,,,,,,,,,1,2,3,2,2,2,1,3,2,,,,,,,,,3,1,,2,4,3,2,2,1,,,,4,3,4,4,,,,3,3,1,1,1,1,2,,,,,4,3,3,4,3,2,3,1,2,2,2,1,2,2,2,1,1,1,2,,2,1,3,5,1,3,1,1,6,2,,1,1,1,1,6,12,,3,6,2,,2,,2,4,1,9,4,2,2,3,0.7334829909169132
201501657019,03-Jul-2024 20:31:57,03-Jul-2024 20:40:33,1,1,9,1,2,2,2,2,1,,1,1,1,,1,,,1,,2,,,2,1,1,3,2,1,2,4,3,4,2,2,4,1,1,2,1,1,2,4,4,4,4,4,4,,,,,,,,,,,2,5,5,2,2,5,1,2,2,,,,,,,,,1,2,,2,2,4,4,3,3,,,,1,1,2,1,,,,3,1,2,2,2,3,2,,,,,2,4,4,2,3,4,2,3,2,2,2,1,1,2,2,1,1,4,1,,1,1,1,2,2,2,1,1,5,2,,1,1,1,1,1,2,2,2,2,1,,1,,1,2,1,9,3,2,2,3,1.1425746011422901
201501657128,02-Jul-2024 21:31:55,02-Jul-2024 21:43:03,3,1,9,1,2,2,2,2,1,,1,1,3,,,,1,1,1,4,,,2,1,2,2,2,3,3,4,3,4,2,4,4,3,3,99,2,2,3,3,3,3,4,4,3,,,,,,,,,,,1,4,4,4,2,3,1,4,2,,,,,,,,,3,1,,2,3,4,4,3,3,,,,2,2,4,3,,,,2,3,3,2,2,3,2,,,,,4,5,5,5,5,3,4,4,2,2,2,1,1,2,2,1,1,1,1,,3,1,3,5,2,3,1,2,4,2,,1,1,1,1,1,1,1,1,5,3,1,,5,1,1,1,9,2,2,2,3,1.0096828403461122
201501657434,02-Jul-2024 18:37:50,02-Jul-2024 20:21:21,1,1,9,2,1,2,2,2,1,2,,1,,,1,,,1,,,2,3,1,2,2,2,1,1,1,4,3,3,1,2,4,,,,,,,,,,,,,1,1,1,2,4,4,4,4,4,1,2,,,,,,,,,2,3,4,1,3,3,3,2,3,,3,1,,,,,,4,4,4,,,,,1,1,1,3,3,2,2,,,,3,4,3,3,3,5,5,1,4,3,2,3,2,2,2,1,1,2,2,,,,1,3,,1,2,3,3,2,1,1,6,2,,1,1,1,1,1,1,2,1,5,1,,1,,1,1,3,9,2,1,1,3,0.7818267101753829
201501657511,02-Jul-2024 18:36:09,02-Jul-2024 18:46:16,3,1,9,2,1,1,2,2,1,2,,1,1,,1,,,1,,,2,4,2,1,2,3,3,2,2,4,3,3,2,2,4,,,,,,,,,,,,,2,1,2,2,3,4,4,4,1,1,1,,,,,,,,,3,4,3,2,2,2,4,4,1,,3,2,2,,,,,4,4,4,,,,,1,1,1,3,1,3,2,,,,2,4,4,4,5,5,5,3,2,3,1,1,2,2,2,1,2,2,2,1,1,4,5,5,1,1,2,4,2,2,1,1,5,2,,1,4,4,1,1,2,1,2,1,1,,1,,1,1,1,9,1,1,2,2,1.1306832084304892
